symbol,category,listing_years,annualized_volatility,trigger_zscore,optimal_days,best_rebound_ratio,event_count,total_trading_days,return_mean,return_std,rank
HUC.TO,未分類,16.7,0.2893,3.5,3,1.0232,13,2508,1.00101,0.013044,1
XGD.TO,未分類,25.3,0.3354,3.0,3,1.0224,13,2508,1.000976,0.011199,2
IVV,Large Blend,26.1,0.1805,3.5,3,1.0191,10,2511,1.000531,0.005759,3
OEF,Large Blend,25.7,0.1846,3.0,3,1.0186,13,2511,1.000514,0.005995,4
XCH.TO,未分類,16.5,0.2569,3.0,2,1.0183,8,2508,1.000398,0.011677,5
VOO,Large Blend,15.8,0.18,3.0,3,1.0159,13,2511,1.000536,0.005756,6
CSM,Large Blend,17.0,0.1836,3.0,3,1.0158,20,2511,1.000353,0.006277,7
XMHQ,Mid-Cap Blend,19.6,0.2065,2.5,3,1.0154,28,2511,1.001226,0.008081,8
VV,Large Blend,22.5,0.1819,3.5,2,1.0152,9,2511,1.000551,0.005815,9
DHS,Large Value,20.1,0.1607,3.0,3,1.0151,11,2511,1.000433,0.004405,10
CEW.TO,未分類,18.4,0.1692,3.5,3,1.0151,8,2508,1.000457,0.005898,11
PNQI,Large Growth,18.1,0.2533,3.5,3,1.015,8,2511,1.000625,0.008886,12
FPX,Mid-Cap Growth,20.1,0.2448,3.5,2,1.0145,14,2511,1.000606,0.007947,13
ZMT.TO,未分類,16.2,0.3345,3.0,3,1.0142,16,2508,1.000917,0.014815,14
SPY,Large Blend,33.5,0.1793,3.0,3,1.0139,12,2511,1.000525,0.00571,15
XEG.TO,未分類,25.3,0.3341,3.5,3,1.0139,12,2508,1.000925,0.0105,16
XCB.TO,未分類,19.7,0.0723,3.0,3,1.0137,10,2508,0.999883,0.00226,17
VONE,Large Blend,15.8,0.1823,3.0,3,1.0136,16,2511,1.00072,0.005874,18
XSU.TO,未分類,19.2,0.2344,3.5,1,1.0134,12,2508,1.000623,0.007756,19
SCHX,Large Blend,16.7,0.1814,3.0,2,1.0131,16,2511,1.000455,0.005797,20
VTI,Large Blend,25.1,0.1829,3.0,2,1.0131,15,2511,1.00064,0.005797,21
DSI,Large Blend,19.7,0.187,3.0,3,1.013,15,2511,1.00064,0.006024,22
SPYG,Large Growth,25.8,0.2074,3.0,3,1.0126,15,2511,1.000699,0.006718,23
QQXT,Large Blend,19.2,0.1745,3.5,3,1.0122,12,2511,1.000282,0.006862,24
DTD,Large Value,20.1,0.1616,3.5,3,1.0121,8,2511,1.000687,0.004856,25
IWV,Large Blend,26.1,0.1838,3.0,2,1.012,15,2511,1.000564,0.005859,26
FAD,Mid-Cap Growth,19.2,0.2132,3.0,2,1.0119,11,2511,1.000881,0.008444,27
IWM,Small Blend,26.1,0.2301,2.5,3,1.0119,23,2511,1.000675,0.007368,28
IYY,Large Blend,26.1,0.1815,3.0,2,1.0117,17,2511,1.000572,0.005975,29
MGC,Large Blend,18.5,0.1822,3.0,3,1.0117,17,2511,1.000588,0.005877,30
SUSA,Large Blend,21.5,0.1813,3.0,3,1.0115,14,2511,1.000823,0.005784,31
ZCH.TO,未分類,16.5,0.2855,1.5,3,1.0115,120,2508,1.000902,0.011389,32
ITOT,Large Blend,22.5,0.1825,3.0,3,1.0114,16,2511,1.000621,0.005793,33
CIF.TO,未分類,17.5,0.1669,3.0,3,1.0113,15,2508,1.001827,0.007309,34
IWY,Large Growth,16.8,0.2106,3.5,2,1.011,9,2511,1.000767,0.007021,35
PRF,Large Value,20.6,0.1759,3.5,3,1.0108,9,2511,1.00046,0.005206,36
SCHB,Large Blend,16.7,0.1831,3.0,3,1.0108,13,2511,1.000586,0.005801,37
VIG,Large Blend,20.2,0.1601,3.0,3,1.0107,13,2511,1.000467,0.004838,38
VUG,Large Growth,22.5,0.2151,3.5,2,1.0107,9,2511,1.000637,0.006941,39
MGK,Large Growth,18.5,0.2197,3.0,3,1.0106,19,2511,1.000603,0.007186,40
IWB,Large Blend,26.1,0.1812,3.0,2,1.0105,13,2511,1.000577,0.005773,41
IWF,Large Growth,26.1,0.2105,3.0,3,1.0104,17,2511,1.000586,0.006752,42
SPVM,Mid-Cap Value,15.1,0.1951,2.5,3,1.0103,28,2511,1.000767,0.007164,43
BMVP,Mid-Cap Blend,23.2,0.1873,2.5,3,1.0103,26,2511,1.000046,0.008052,44
SPTM,Large Blend,25.8,0.1802,3.0,2,1.0101,14,2511,1.000697,0.005872,45
EQL,Large Value,17.0,0.1649,2.5,3,1.0101,33,2511,1.000854,0.006028,46
VO,Mid-Cap Blend,22.5,0.1887,3.0,2,1.01,14,2511,1.000656,0.005754,47
XSP.TO,未分類,24.2,0.182,3.5,2,1.01,13,2508,1.000528,0.005815,48
HUN.TO,未分類,16.7,0.3467,3.0,2,1.0099,18,2508,1.000765,0.015299,49
ISCG,Small Growth,22.0,0.2314,2.5,2,1.0099,30,2511,1.001421,0.008607,50
IVW,Large Growth,26.1,0.207,3.0,3,1.0099,16,2511,1.000614,0.006707,51
FTA,Mid-Cap Value,19.1,0.1984,3.0,3,1.0098,19,2511,1.000558,0.005643,52
GLCC.TO,未分類,15.2,0.3232,3.0,3,1.0098,15,2508,1.001592,0.010847,53
IUSG,Large Growth,26.0,0.2048,3.5,2,1.0098,11,2511,1.000692,0.006651,54
VOOG,Large Growth,15.8,0.2082,3.0,3,1.0097,19,2511,1.000687,0.006757,55
IMCG,Mid-Cap Growth,22.0,0.2055,2.5,3,1.0096,28,2511,1.000824,0.006931,56
RFV,Small Value,20.4,0.2485,2.0,3,1.0095,52,2511,1.000833,0.008535,57
IVE,Large Value,26.1,0.1688,3.5,2,1.0094,9,2511,1.000439,0.005122,58
XCS.TO,未分類,19.2,0.2049,3.0,2,1.0093,21,2508,1.000864,0.006413,59
RPV,Mid-Cap Value,20.4,0.2181,3.0,3,1.0092,15,2511,1.000323,0.006183,60
SCHM,Mid-Cap Blend,15.5,0.2047,2.5,3,1.0091,31,2511,1.000635,0.006314,61
XIU.TO,未分類,26.8,0.1498,2.0,3,1.0091,55,2508,1.000505,0.00462,62
SPLV,Large Value,15.2,0.154,2.5,3,1.009,25,2511,1.000211,0.003457,63
PFM,Large Value,20.8,0.1518,3.0,3,1.009,14,2511,1.000407,0.00477,64
VOOV,Large Value,15.8,0.1688,3.0,3,1.0087,17,2511,1.000585,0.005113,65
VTWV,Small Value,15.8,0.2348,2.5,3,1.0086,26,2511,1.000713,0.007343,66
DON,Mid-Cap Value,20.1,0.2021,3.0,3,1.0085,19,2511,1.000679,0.005672,67
IWL,Large Blend,16.8,0.181,3.0,3,1.0084,13,2511,1.000731,0.005996,68
MDYG,Mid-Cap Growth,20.7,0.2106,2.5,3,1.0084,35,2511,1.000778,0.006641,69
SPYV,Large Value,25.8,0.1688,3.5,2,1.0084,9,2511,1.000531,0.005127,70
FDL,Large Value,20.3,0.1712,2.5,3,1.0084,26,2511,1.000432,0.004501,71
FTCS,Large Blend,20.0,0.1552,3.0,3,1.0084,19,2511,1.000721,0.004491,72
SPGP,Large Value,15.1,0.2121,3.0,3,1.0084,19,2511,1.000737,0.006605,73
ISCV,Small Value,22.0,0.232,2.5,3,1.0083,26,2511,1.000665,0.007294,74
VTWG,Small Growth,15.8,0.2423,3.0,2,1.0082,19,2511,1.00102,0.008108,75
VOE,Mid-Cap Value,19.9,0.1873,3.0,3,1.0082,21,2511,1.000557,0.005304,76
XBAL.TO,未分類,19.1,0.0941,3.5,3,1.0082,9,2508,1.000514,0.003686,77
IJH,Mid-Cap Blend,26.1,0.2113,2.5,3,1.0079,28,2511,1.000575,0.006332,78
VIOO,Small Blend,15.8,0.2294,2.5,3,1.0078,24,2511,1.000821,0.00691,79
VOT,Mid-Cap Growth,19.9,0.2101,3.0,3,1.0077,16,2511,1.000688,0.006716,80
SCHA,Small Blend,16.7,0.2274,2.5,3,1.0077,25,2511,1.000583,0.006976,81
ILCB,Large Blend,22.0,0.1817,3.0,3,1.0074,20,2511,1.000317,0.00606,82
IWO,Small Growth,26.0,0.2415,3.0,2,1.0074,17,2511,1.000669,0.007735,83
XWD.TO,未分類,16.7,0.1534,3.5,3,1.0073,9,2508,1.000654,0.005334,84
SCHV,Large Value,16.6,0.1692,3.5,2,1.0073,11,2511,1.000366,0.005079,85
SLYG,Small Growth,25.8,0.2271,2.5,3,1.0072,28,2511,1.000776,0.006825,86
RWL,Large Value,18.3,0.1681,3.5,2,1.0072,8,2511,1.00064,0.005356,87
VBR,Small Value,22.5,0.2165,2.5,3,1.0071,27,2511,1.000637,0.00617,88
XCV.TO,未分類,19.7,0.1552,3.0,3,1.0071,15,2508,1.000608,0.006038,89
SLYV,Small Value,25.8,0.239,2.5,3,1.0071,20,2511,1.000647,0.007005,90
VYM,Large Value,19.7,0.1629,3.5,2,1.007,9,2511,1.000488,0.004763,91
